date,0,1,2,3,4,5,6,7
2015-07-15,0.20199424,-0.14265971,0.44484186,0.14444786,0.14391723,0.3309273,0.088363625,0.18291438
2015-07-16,-1.0878084,-0.9238161,0.04150674,0.29445025,0.19743066,-0.3653805,-0.54703385,-0.015932374
2015-07-17,-0.6982485,-0.68087184,0.14300434,0.06148385,0.30922756,-0.07984555,-0.4935625,0.38725054
2015-07-20,-0.3993494,-0.49401182,0.314239,0.14699435,0.19257027,0.17646974,-0.2896479,0.14226621
2015-07-21,-0.56652844,-0.5896652,0.21520446,0.12326738,0.14619526,-0.08667162,-0.3500463,0.06674825
2015-07-22,-0.3361273,-0.43842083,0.2691609,0.22328457,0.19813648,0.17514323,-0.21774465,0.17858568
2015-07-23,-0.33135638,-0.44519722,0.19730094,0.024478145,0.1998306,-0.04012773,-0.30073032,0.29550448
2015-07-24,-0.22726904,-0.37293577,0.2839622,0.11898287,0.0904367,0.039983544,-0.16600052,0.05450473
2015-07-27,-0.20870954,-0.3323272,0.32577917,0.3394664,0.017266687,0.12317325,-0.03792403,-0.12938097
2015-07-28,-0.4388732,-0.46462095,0.06623244,0.28291467,0.18440078,-0.14739488,-0.20827214,0.19994453
2015-07-29,-0.09392842,-0.3505003,0.3535586,0.06425755,0.31179994,0.3971799,-0.17048651,0.43537465
2015-07-30,-0.23053016,-0.36631882,0.27657118,0.11425789,0.07344118,0.013566274,-0.19155419,0.072005674
2015-07-31,-0.48264152,-0.52364403,0.21848293,0.1422924,0.102237746,-0.0987158,-0.289747,0.039516263
2015-08-03,-0.04503398,-0.26880854,0.37543446,0.18732274,0.10010938,0.2447034,-0.040016435,0.09426399
2015-08-04,-0.62591696,-0.6596745,0.1507727,-0.11563643,0.25674674,-0.20660418,-0.50486404,0.35168958
2015-08-05,-0.15930131,-0.33940488,0.32830313,0.17244616,0.15137392,0.22189309,-0.13393232,0.16548783
2015-08-06,-0.5065466,-0.5436194,0.18759444,0.15662053,0.1448778,-0.095553294,-0.2963919,0.08987219
2015-08-07,-0.47796515,-0.5191571,0.17166428,0.1455717,0.16236928,-0.09703416,-0.3042295,0.1672338
2015-08-10,-0.59762764,-0.62391835,0.13242948,-0.036533378,0.26301712,-0.17670056,-0.4616056,0.36300611
2015-08-11,-0.14035508,-0.31990418,0.30693328,0.080658995,0.16057234,0.15746476,-0.19250144,0.23883528
2015-08-12,-0.34603694,-0.44592702,0.26210785,0.14137715,0.11243166,0.017405648,-0.22546205,0.06329082
2015-08-13,-0.3409573,-0.46575284,0.30220675,0.0627591,0.20753908,0.15078364,-0.3021688,0.23105231
2015-08-14,-0.1518743,-0.32350063,0.27447304,0.12505029,0.12384273,0.08699171,-0.14372838,0.15594567
2015-08-17,-0.17692159,-0.3448304,0.26983514,0.061416544,0.15130782,0.079788774,-0.20355585,0.21406657
2015-08-18,-0.10255564,-0.28300858,0.36318335,0.30543974,0.023786988,0.16552128,0.02508238,-0.10357259
2015-08-19,-0.58503246,-0.6415725,0.28487444,-0.022395588,0.2799877,0.09102981,-0.48074558,0.2931589
2015-08-20,-0.24877077,-0.37073106,0.22831653,0.16949493,0.11129238,0.001756439,-0.16052304,0.107097164
2015-08-21,-0.059255842,-0.27992898,0.35418054,0.1178797,0.14699402,0.24563392,-0.11198503,0.20102972
2015-08-24,0.18953115,-0.14130436,0.38557673,0.064054735,0.15023871,0.27265114,0.0036945865,0.2574751
2015-08-25,-0.17338137,-0.32388133,0.27770782,0.23333701,0.0782219,0.08250739,-0.07864749,0.025312059
2015-08-26,-0.37748206,-0.4878772,0.19952568,-0.113791876,0.06289211,-0.28323007,-0.31586254,0.06316882
2015-08-27,-0.18568105,-0.3618784,0.32127917,0.18982154,0.1623077,0.22681098,-0.13348967,0.15976623
2015-08-28,-0.40347186,-0.49177456,0.16562872,0.020897835,0.32249793,0.035602633,-0.3848966,0.5079788
2015-08-31,0.04036513,-0.21888989,0.33517468,0.042774986,0.15077476,0.20806284,-0.1042214,0.2615757
2015-09-01,-0.0246469,-0.24520096,0.27114233,0.11643877,0.0931561,0.07674135,-0.06512846,0.13735595
2015-09-02,-0.7276721,-0.6858286,0.056788977,0.07010378,0.12876113,-0.44118205,-0.41024578,0.08452721
2015-09-07,-0.4838144,-0.5396515,0.21547903,0.17476413,0.12819816,-0.06305174,-0.24945587,-0.006936416
2015-09-08,-0.446916,-0.52686816,0.22092949,0.083752,0.31394866,0.13445832,-0.37727618,0.4165177
2015-09-09,-0.38574976,-0.45061105,0.18233857,0.25160214,0.14524639,-0.018429438,-0.19825834,0.112272166
2015-09-10,-0.40895647,-0.48774922,0.24440964,0.11131388,0.13931951,-0.01268916,-0.28217438,0.11447573
